iter	Passed	Remaining
958	28874	1234
959	28901	1204
960	28929	1174
961	28955	1143
962	28982	1113
963	29011	1083
964	29038	1053
965	29066	1023
966	29094	992
967	29120	962
968	29149	932
969	29175	902
970	29202	872
971	29230	842
972	29256	811
973	29282	781
974	29309	751
975	29335	721
976	29361	691
977	29387	661
978	29413	630
979	29439	600
980	29466	570
981	29493	540
982	29521	510
983	29550	480
984	29580	450
985	29609	420
986	29638	390
987	29664	360
988	29692	330
989	29721	300
990	29749	270
991	29777	240
992	29804	210
993	29830	180
994	29857	150
995	29883	120
996	29910	90
997	29939	59
998	29967	29
999	29993	0
